product_sku,product_name,quantity_sold,revenue_usd
GGOEGHGH019699,Google Sunglasses,3010,9912.763676
GGOEGOFH020299,Galaxy Screen Cleaning Cloth,4904,9495.81773
GGOEAKDH019899,Windup Android,2454,9434.123927
GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,594,9192.582352
GGOEGAAB010515,Google Men's 100% Cotton Short Sleeve Hero Tee Black,563,9127.483065
GGOEGOXQ016399,Badge Holder,4529,9077.630593
GGOEGFSR022099,Google Kick Ball,4635,8868.352836
GGOEGAAB010514,Google Men's 100% Cotton Short Sleeve Hero Tee Black,537,8812.181815
GGOEGCKQ013199,1 oz Hand Sanitizer,4412,8648.879012
GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,1181,8550.023356
GGOEGBJR018199,Reusable Shopping Bag,2601,8496.599604
GGOEGAFB035813,Google Men's  Zip Hoodie,160,8423.455293
GGOEGOAA017099,Ballpoint Stick Pen 4 Pack,2254,8279.638117
GGOEGFYQ016599,Foam Can and Bottle Cooler,4575,8269.35653
GGOEGEVJ023999,Compact Bluetooth Speaker,143,8099.006305
GGOEGHGR019499,Google Sunglasses,2532,8076.802204
GGOEGODR017799,Recycled Mouse Pad,5349,7938.070227
GGOEGDHR082199,Google 25 oz Red Stainless Steel Bottle,617,7668.783863
GGOEGAWQ062948,Google Baby Essentials Set,261,7623.603916
GGOEGOAR013099,Google Stylus Pen w/ LED Light,1463,7535.329141
GGOEGHGT019599,Google Sunglasses,2306,7353.621608
GGOEGOAQ012899,Ballpoint LED Light Pen,2985,7088.793515
GGOEGOAQ018099,Pen Pencil & Highlighter Set,1838,7020.371444
GGOEGDHJ082599,Google 17 oz Double Wall Stainless Steel Insulated Bottle,365,6995.418101
GGOEGAQB036013,Google Women's Fleece Hoodie,144,6975.517459
GGOEGAAQ010414,Google Men's 100% Cotton Short Sleeve Hero Tee White,421,6632.335146
GGOEGOAQ020099,Four Color Retractable Pen,2342,6586.495961
GGOEGCBC074299,Google Device Stand,1335,6502.931034
GGOEGBCR024399,Google Lunch Bag,493,6416.195819
GGOEGOAR021999,Color Changing Grip Pen,4497,6264.253911
GGOEGEFR024199,Metal Earbuds with Small Zipper Case,609,6208.861084
GGOEGOAC021799,Ballpoint Pen Blue,6512,6152.339575
GGOEGBFC018799,Electronics Accessory Pouch,1256,6118.012719
GGOEAHPJ074410,Android Twill Cap,606,6056.667772
GGOEGAQB036014,Google Women's Fleece Hoodie,121,5887.562464
GGOEGETB023799,Google Power Bank,131,5822.312167
GGOEGOCB078299,Google Leather Journal-Black,310,5781.348783
GGOEADWQ015699,Android Rise 14 oz Mug,469,5780.998212
GGOEGOCD078199,Google Leather Journal-Brown,271,5759.776845
GGOEGAWQ062953,Google Baby Essentials Set,197,5724.000629
GGOEADHH073999,Android 17oz Stainless Steel Sport Bottle,331,5582.524491
GGOEGAEB084514,BLM Sweatshirt,148,5571.786663
GGOEGAAB010516,Google Men's 100% Cotton Short Sleeve Hero Tee Black,336,5518.994763
GGOEGEVB070599,Google G Noise-reducing Bluetooth Headphones,40,5402.437178
GGOEGESC014099,Rocket Flashlight,1097,5377.858001
GGOEGAAL010615,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,336,5275.404105
GGOEYFKQ020699,YouTube Custom Decals,2533,5259.847279
GGOEGDHC015299,23 oz Wide Mouth Sport Bottle,551,5254.217391
GGOEGOAA017199,Rubber Grip Ballpoint Pen 4 Pack,1186,5227.82783
GGOEGAAQ010413,Google Men's 100% Cotton Short Sleeve Hero Tee White,316,5200.874788
GGOEGAAQ010416,Google Men's 100% Cotton Short Sleeve Hero Tee White,327,5162.136738
GGOEYDHJ056099,22 oz YouTube Bottle Infuser,1144,4913.930585
GGOEGCBQ016499,SPF-15 Slim & Slender Lip Balm,2338,4839.093285
GGOEGGCX056299,Gift Card - $25.00,178,4810.833294
GGOEGDHB072099,Google Insulated Stainless Steel Bottle,245,4581.075139
GGOEGOAB021699,Google Ballpoint Pen Black,2309,4502.770562
GGOEGFQB013799,Compact Selfie Stick,580,4459.287444
GGOEGBJC014399,Google Tote Bag,501,4444.753055
GGOEGHPJ080310,Google Blackout Cap,298,4434.868115
GGOEGAEB084515,BLM Sweatshirt,120,4423.466663
GGOEGAAR010715,Google Men's 100% Cotton Short Sleeve Hero Tee Red,268,4404.810465
GGOEGDHG014499,Google Infuser-Top Water Bottle,453,4375.020386
GGOEGBRB073899,Google Laptop Tech Backpack,93,4219.477368
GGOEGBMB073799,Google Zipper-front Sports Bag,232,4026.046405
GGOEGAWQ062949,Google Baby Essentials Set,142,3994.136815
GGOEADHH055999,22 oz Android Bottle,1408,3988.434254
GGOEGETR014599,Google Power Bank,259,3963.368838
GGOEGADB056915,Google Men's Performance Full Zip Jacket Black,48,3772.563184
GGOEAFKQ020499,8 pc Android Sticker Sheet,1987,3771.804204
GGOEYAFB073115,YouTube Men's Fleece Hoodie Black,78,3739.921002
GGOEYAFB073114,YouTube Men's Fleece Hoodie Black,77,3677.980131
GGOEGEVB071799,Google Pocket Bluetooth Speaker,161,3676.65694
GGOEGADJ056814,Google Men's Watershed Full Zip Hoodie Grey,48,3590.029267
GGOEGHPA002910,Google Trucker Hat,155,3525.902121
GGOEGEHQ071199,"Google High Capacity 10,400mAh Charger",64,3508.930524
GGOEGADJ056815,Google Men's Watershed Full Zip Hoodie Grey,49,3472.314377
GGOEGADB059615,Google Men's Quilted Insulated Vest Black,54,3470.556436
GGOEGOBC078699,Google Luggage Tag,461,3435.884735
GGOEGAEJ031315,Google Tri-blend Hoodie Grey,93,3405.465721
GGOEGAAL010614,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,210,3403.018542
GGOEGFKQ020799,Google Doodle Decal,1096,3340.289339
GGOEGOAB012999,Ballpoint Pen & Matching Tube Case,784,3330.564344
GGOEGBPB021199,Google Slim Utility Travel Bag,269,3328.258289
GGOEGEHQ072499,Google 2200mAh Micro Charger,168,3278.025623
GGOEGAAB033815,Google Men's Vintage Badge Tee Black,254,3272.949418
GGOEGDHG082499,Google 25 oz Clear Stainless Steel Bottle,275,3251.229753
GGOEGFAQ016699,Bottle Opener Clip,960,3240.23074
GGOEGAQB036015,Google Women's Fleece Hoodie,68,3229.818775
GGOEGOAB016099,Leather and Metal Ballpoint Pen,245,3223.516288
GGOEGBMC056599,Waterproof Gear Bag,56,3211.231425
GGOEGDHC082299,Google 25 oz Blue Stainless Steel Bottle,260,3210.951722
GGOEGEVA022399,Micro Wireless Earbud,83,3209.585964
GGOEGCVB072399,Google Executive Umbrella,114,3208.630703
GGOEYOCR078099,YouTube Spiral Journal with Pen,438,3192.52079
GGOEGEHQ024099,Clip-on Compact Charger,169,3181.341885
GGOEGEVB070899,Google Bongo Cupholder Bluetooth Speaker,63,3156.958285
GGOEGOBG023599,Colored Pencil Set,1087,3155.739495
GGOEGCMB020932,Suitcase Organizer Cubes,185,3104.682495
GGOEGAEJ031314,Google Tri-blend Hoodie Grey,83,3102.21006
GGOEGAEB084513,BLM Sweatshirt,82,3024.979998
GGOEGOCC077299,Google RFID Journal,258,2959.837551
GGOEGHPA003010,Google Wool Heather Cap Heather/Navy,122,2939.804238
GGOEGAAL010616,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,179,2913.42144
GGOEGOAB015899,Rainbow Stylus Pen,1889,2894.400007
GGOEGAAB010517,Google Men's 100% Cotton Short Sleeve Hero Tee Black,171,2850.544194
GGOEGCBB074199,Google Car Clip Phone Holder,416,2849.47216
GGOEGBRD079699,25L Classic Rucksack,31,2849.250856
GGOEYHPA003510,YouTube Trucker Hat,142,2843.366155
GGOEGGCX056199,Gift Card- $100.00,26,2758.333333
GGOEGADB057315,Google Men's Lightweight Microfleece Jacket Black,41,2752.022682
GGOEGOAQ015999,Gel Roller Pen,836,2751.679553
GGOEGOAR021899,Retractable Ballpoint Pen Red,2252,2723.463728
GGOEGGCX056499,Gift Card - $50.00,51,2699.833331
GGOEGAEQ027914,Google Women's Short Sleeve Hero Tee White,169,2683.830291
GGOEGCLB020832,Softsided Travel Pouch Set,254,2649.959796
GGOEAOCH014199,Android Journal Book Set,335,2644.755651
GGOEGADJ059715,Google Men's Quilted Insulated Vest Battleship Grey,54,2644.544665
GGOEGDHB072199,Google Accent Insulated Stainless Steel Bottle,113,2641.661119
GGOEGAEB084516,BLM Sweatshirt,72,2638.996664
GGOEGOCR078499,Google Spiral Leather Journal,201,2619.017855
GGOEGATB060414,Google Women's Quilted Insulated Vest Black,40,2609.530949
GGOEGHPL003214,Google Stretch Fit Hat M/L Navy,148,2589.652409
GGOEGAEQ027913,Google Women's Short Sleeve Hero Tee White,164,2588.742141
GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,862,2573.836338
GGOEGAAJ080615,Google Men's Bike Short Sleeve Tee Charcoal,132,2515.398347
GGOEAAWQ063053,Android Baby Esssentials Set,103,2482.65
GGOEGDHC017999,24 oz USA Made Aluminum Bottle,285,2466.147982
GGOEGADB056715,Men's Softshell Jacket Black/Grey,29,2461.119521
GGOEGOAC016199,Executive Twist Ballpoint Pen,279,2453.680643
GGOEGAEL031116,Google Men's Heavyweight Long Sleeve Hero Tee Navy,61,2409.823332
GGOEGAEL031113,Google Men's Heavyweight Long Sleeve Hero Tee Navy,60,2389.999999
GGOEGAAR010716,Google Men's 100% Cotton Short Sleeve Hero Tee Red,143,2380.191928
GGOEAAWQ063048,Android Baby Esssentials Set,97,2365.93
GGOEADHB014799,Android Glass Water Bottle with Black Sleeve,195,2349.650509
GGOEYOBR078599,YouTube Luggage Tag,260,2331.649081
GGOEADHJ015599,Android 24 oz Contigo Bottle,136,2308.888091
GGOEGEVA022399,Micro Wireless Earbuds,62,2301.797696
GGOEGADJ056816,Google Men's Watershed Full Zip Hoodie Grey,29,2295.68833
GGOEGHPB003410,Google Snapback Hat Black,116,2269.778408
GGOEGAAJ080614,Google Men's Bike Short Sleeve Tee Charcoal,119,2262.30062
GGOEYAFB073113,YouTube Men's Fleece Hoodie Black,47,2238.788699
GGOEGOCD078399,Google Leather Perforated Journal,140,2229.458766
GGOEGADB057316,Google Men's Lightweight Microfleece Jacket Black,33,2216.81969
GGOEGBJB022599,Large Zipper Top Tote Bag,74,2205.5561
GGOEGBMB073599,Google Collapsible Duffel Black,107,2189.766545
GGOEGAEC033114,Google Men's Long Sleeve Raglan Ocean Blue,101,2179.329674
GGOEGAAR010714,Google Men's 100% Cotton Short Sleeve Hero Tee Red,135,2178.311085
GGOEGBRB079599,25L Classic Rucksack,23,2156.393338
GGOEGADJ059714,Google Men's Quilted Insulated Vest Battleship Grey,41,2137.420841
GGOEGAEQ027915,Google Women's Short Sleeve Hero Tee White,138,2127.468127
GGOEGOAJ021599,Gunmetal Roller Ball Pen,271,2118.640741
GGOEGEVR014999,UFO Bluetooth Water Resistant Speaker,61,2106.306666
GGOEGAFJ036215,Google Men's Pullover Hoodie Grey,45,2099.546665
GGOEGFKA022299,Keyboard DOT Sticker,1338,2083.443579
GGOEGADB056714,Men's Softshell Jacket Black/Grey,25,2072.17619
GGOEGOCC017699,Compact Journal with Recycled Pages,649,2055.994258
GGOEADHH015499,Android 24 oz Contigo Bottle,121,2054.961169
GGOEYAQB073214,YouTube Women's Fleece Hoodie Black,49,2035.91563
GGOEYOLR080599,YouTube Notebook and Pen Set,381,2019.167154
GGOEYAAJ032514,YouTube Men's Short Sleeve Hero Tee Charcoal,111,2005.343204
GGOEGADB059614,Google Men's Quilted Insulated Vest Black,31,2004.227335
GGOEYAAJ032515,YouTube Men's Short Sleeve Hero Tee Charcoal,111,2002.102777
GGOEGAEL031115,Google Men's Heavyweight Long Sleeve Hero Tee Navy,50,1956.0
GGOEGADB056716,Men's Softshell Jacket Black/Grey,22,1950.832379
GGOEGAWN062748,Google Infant Zip Hood Pink,61,1949.219995
GGOEGKAA019299,Switch Tone Color Crayon Pen,1031,1944.137649
GGOEGAAJ032315,Google Men's Short Sleeve Hero Tee Charcoal,116,1930.865173
GGOEGDHC022999,Insulated Bottle,96,1897.130125
GGOEGAAB033814,Google Men's Vintage Badge Tee Black,140,1895.365632
GGOEGESB015199,Google Flashlight,37,1862.396481
GGOEGESB015099,Basecamp Explorer Powerbank Flashlight,108,1849.276615
GGOEGEHQ072599,Google 4400mAh Power Bank,56,1847.470841
GGOEGAFJ036214,Google Men's Pullover Hoodie Grey,39,1846.0973
GGOEGAEC033115,Google Men's Long Sleeve Raglan Ocean Blue,85,1833.114108
GGOEGAPB058214,Google Women's Lightweight Microfleece Jacket,29,1829.445713
GGOEGOAB021499,Metal Texture Roller Pen,135,1823.075319
GGOEGADB059616,Google Men's Quilted Insulated Vest Black,28,1814.37526
GGOEGOLC014299,Blue Metallic Textured Spiral Notebook Set,358,1805.297377
GGOEGDHJ023099,Insulated Bottle,92,1800.29874
GGOEGALJ073314,Google Women's Short Sleeve Hero Tee Heather,95,1791.538887
GGOEGADB056914,Google Men's Performance Full Zip Jacket Black,19,1784.026666
GGOEGEVJ023999,Aria Bluetooth Speaker,22,1780.825453
GGOEGDHB071999,Google 40 oz Insulated Monster Bottle,55,1756.466188
GGOEAAFB035914,Android Men's  Zip Hoodie,33,1744.331617
GGOEGAAB010513,Google Men's 100% Cotton Short Sleeve Hero Tee Black,110,1738.408277
GGOEGESC014699,Aluminum Handy Emergency Flashlight,117,1728.905596
GGOEGATB060413,Google Women's Quilted Insulated Vest Black,27,1726.159731
GGOEGEVB070699,Google Bluetooth Speaker-Power Bank,23,1687.965904
GGOEGAEB084517,BLM Sweatshirt,45,1683.833332
GGOEGAFB035817,Google Men's  Zip Hoodie,33,1668.683579
GGOEGAAQ010417,Google Men's 100% Cotton Short Sleeve Hero Tee White,101,1668.089867
GGOEGOAB022499,Satin Black Ballpoint Pen,97,1657.080034
GGOEGAEJ031316,Google Tri-blend Hoodie Grey,43,1654.052572
GGOEGAEL031114,Google Men's Heavyweight Long Sleeve Hero Tee Navy,41,1643.19
GGOEGAWC062848,Google Infant Zip Hood Royal Blue,48,1600.205711
GGOEGAPB057813,Women's Performance Full Zip Jacket Black,18,1570.797776
GGOEAOCH077899,Android Spiral Journal with Pen,210,1553.388451
GGOEGBMC073699,Google Collapsible Duffel Blue,74,1552.691534
GGOEGADB057314,Google Men's Lightweight Microfleece Jacket Black,24,1548.373636
GGOEGHPL003113,Google Stretch Fit Hat S/M Navy,76,1533.602725
GGOEGAPJ058014,Google Women's 1/4 Zip Jacket Charcoal,17,1525.82501
GGOEAAFB035915,Android Men's  Zip Hoodie,30,1523.949388
GGOEGAAJ032615,Google Men's Short Sleeve Badge Tee Charcoal,90,1514.09756
GGOEGADJ057115,Google Men's Performance 1/4 Zip Pullover Heather/Black,17,1502.916664
GGOEGOAR013599,Ballpoint Stylus Pen,327,1484.941462
GGOEGAAB033816,Google Men's Vintage Badge Tee Black,105,1484.320927
GGOEAAWQ063049,Android Baby Esssentials Set,59,1478.726666
GGOEGBRC021399,Yoga Mat Blue,92,1472.953617
GGOEGAWC062849,Google Infant Zip Hood Royal Blue,48,1469.292037
GGOEGAPB058613,Google Women's Yoga Jacket Black,23,1461.679491
GGOEGADJ057114,Google Men's Performance 1/4 Zip Pullover Heather/Black,21,1439.951266
GGOEGHPB080410,Google 5-Panel Snapback Cap,86,1428.17537
GGOEGAAJ032614,Google Men's Short Sleeve Badge Tee Charcoal,81,1419.442701
GGOEYOCR077399,YouTube RFID Journal,203,1416.914976
GGOEAOBH078799,Android Luggage Tag,157,1411.933338
GGOEYHPA003610,YouTube Wool Heather Cap Heather/Black,61,1399.332096
GGOEYAQB073213,YouTube Women's Fleece Hoodie Black,31,1392.011028
GGOEGAWH061348,Google Onesie Green,66,1388.471695
GGOEGAUB058314,Google Women's Performance Polo Grey/Black,22,1386.0925
GGOEGADB056916,Google Men's Performance Full Zip Jacket Black,17,1371.73476
GGOEGAQB036016,Google Women's Fleece Hoodie,28,1368.616425
GGOEGAPJ058013,Google Women's 1/4 Zip Jacket Charcoal,15,1359.401009
GGOEGAPB058213,Google Women's Lightweight Microfleece Jacket,22,1354.98952
GGOEGAEJ031313,Google Tri-blend Hoodie Grey,38,1352.999868
GGOEGAAJ032314,Google Men's Short Sleeve Hero Tee Charcoal,78,1349.787463
GGOEGAWN062750,Google Infant Zip Hood Pink,45,1348.128845
GGOEGAPB057814,Women's Performance Full Zip Jacket Black,15,1343.603678
GGOEGDHC018299,22 oz Mini Mountain Bottle,496,1340.623184
GGOEGAAB058914,Google Men's Short Sleeve Performance Badge Tee Black,72,1340.357715
GGOEGADB056615,Men's Weatherblock Shell Jacket Black,19,1332.421534
GGOEWEBB082699,Waze Mobile Phone Vent Mount,161,1316.890895
GGOEGADB056614,Men's Weatherblock Shell Jacket Black,23,1315.446535
GGOEGAEB027814,Google Women's Short Sleeve Hero Tee Black,81,1302.812206
GGOEAAQB036114,Android Women's Fleece Hoodie,28,1296.025602
GGOEGADJ057116,Google Men's Performance 1/4 Zip Pullover Heather/Black,15,1273.743332
GGOEGAWN062749,Google Infant Zip Hood Pink,43,1261.054847
GGOEYAFB073116,YouTube Men's Fleece Hoodie Black,25,1248.296666
GGOEGPJR018999,7&quot; Dog Frisbee,841,1225.170101
GGOEGBPB082099,UpCycled Handlebar Bag,25,1219.748601
GGOEGATB060614,Google Women's Convertible Vest-Jacket Black,19,1213.389999
GGOEGADJ056813,Google Men's Watershed Full Zip Hoodie Grey,19,1208.641281
GGOEYAAB031814,YouTube Men's Short Sleeve Hero Tee Black,66,1208.216214
GGOEGAER029714,Google Women's Short Sleeve Hero Tee Red Heather,67,1199.053129
GGOEGAEL031117,Google Men's Heavyweight Long Sleeve Hero Tee Navy,30,1186.192857
GGOEGAPB058215,Google Women's Lightweight Microfleece Jacket,19,1185.314761
GGOEYAAB031815,YouTube Men's Short Sleeve Hero Tee Black,66,1182.068565
GGOEGPJC019099,7&quot; Dog Frisbee,786,1174.667777
GGOEGAAJ073415,Google Men's Short Sleeve Hero Tee Heather,62,1148.396664
GGOEAHPA004110,Android Wool Heather Cap Heather/Black,62,1145.824933
GGOEGAEJ035314,Google Vintage Henley Grey/Black,40,1144.850501
GGOEGALQ034214,Google Women's Vintage Hero Tee White,70,1140.793054
GGOEYAAJ032513,YouTube Men's Short Sleeve Hero Tee Charcoal,62,1138.246149
GGOEYAWJ061448,YouTube Onesie Heather,53,1131.433318
GGOEGAEB027815,Google Women's Short Sleeve Hero Tee Black,71,1127.562949
GGOEGAFJ036216,Google Men's Pullover Hoodie Grey,24,1122.24023
GGOEGADB056616,Men's Weatherblock Shell Jacket Black,17,1119.447725
GGOEGADJ056817,Google Men's Watershed Full Zip Hoodie Grey,13,1111.908888
GGOEYAQB073215,YouTube Women's Fleece Hoodie Black,26,1089.887575
GGOEGAEC033113,Google Men's Long Sleeve Raglan Ocean Blue,49,1083.747296
GGOEYAYR068625,YouTube Youth Short Sleeve Tee Red,54,1080.255982
GGOEGAUB058315,Google Women's Performance Polo Grey/Black,17,1071.1425
GGOEGCNB021099,Seat Pack Organizer,103,1063.262677
GGOEGAAB033817,Google Men's Vintage Badge Tee Black,76,1058.682223
GGOEGAAL010613,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,64,1055.647602
GGOEGAAB058915,Google Men's Short Sleeve Performance Badge Tee Black,58,1053.159433
GGOEGADJ059814,Google Men's Convertible Vest-Jacket Pewter,15,1044.663333
GGOEGARJ058413,Google Women's Yoga Pants,14,1044.442935
GGOEGDHA018899,Stadium Cups-Sets of 4,250,1040.050984
GGOEGATC060314,Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,21,1038.812186
GGOEGFPR113699,16 oz. Hot/Cold Tumbler,108,1030.017096
GGOEGPJC203399,Crunch Noise Dog Toy,212,1025.489735
GGOEGBPB081999,UpCycled Bike Saddle Bag,25,1024.587994
GGOEADHH082399,Android 25 oz Green Apple Stainless Steel Bottle,91,1021.519428
GGOEGGCX056399,Gift Card - $250.00,4,1020.5
GGOEGATB060213,Google Women's 1/4 Zip Performance Pullover Black,22,1013.051989
GGOEAAEJ033414,Android Men's Long Sleeve Badge Crew Tee Heather,36,1009.686666
GGOEGADC059515,Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,17,1008.396846
GGOEGADB059613,Google Men's Quilted Insulated Vest Black,16,1002.935812
GGOEGAPB058614,Google Women's Yoga Jacket Black,15,1000.238888
GGOEGADJ059415,Google Men's Microfiber 1/4 Zip Pullover Grey/Black,15,993.870943
GGOEGAAJ073414,Google Men's Short Sleeve Hero Tee Heather,55,990.18023
GGOEGAAJ032616,Google Men's Short Sleeve Badge Tee Charcoal,56,981.304865
GGOEGAER029713,Google Women's Short Sleeve Hero Tee Red Heather,56,970.357651
GGOEGAEC029114,Google Women's Short Sleeve Hero Tee Sky Blue,58,964.82653
GGOEGAPB057815,Women's Performance Full Zip Jacket Black,12,954.586059
GGOEYAEJ029514,YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,71,953.963332
GGOEGAWC061249,Google Onesie Royal Blue,52,939.731513
GGOEGAAJ080616,Google Men's Bike Short Sleeve Tee Charcoal,47,929.812599
GGOEGAEC033116,Google Men's Long Sleeve Raglan Ocean Blue,43,927.618911
GGOEGAAJ080613,Google Men's Bike Short Sleeve Tee Charcoal,49,923.264108
GGOEGESQ016799,Plastic Sliding Flashlight,157,910.937497
GGOEGAWC061248,Google Onesie Royal Blue,44,909.604443
GGOEGALQ034213,Google Women's Vintage Hero Tee White,55,909.170849
GGOEGAEA030414,Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,50,908.940682
GGOEGATH060714,Google Women's Convertible Vest-Jacket Sea Foam Green,12,905.179047
GGOEGEHB071499,Google PowerKit,13,900.621281
GGOEGAWR061148,Google Onesie Red,41,890.249904
GGOEGAAR010713,Google Men's 100% Cotton Short Sleeve Hero Tee Red,54,882.694014
GGOEGATJ060513,Google Women's Quilted Insulated Vest White,18,878.862305
GGOEYAYR068624,YouTube Youth Short Sleeve Tee Red,48,878.28384
GGOEGAER035514,Google Men's Vintage Tank,48,875.503731
GGOEGADC059314,Google Men's Airflow 1/4 Zip Pullover Lapis,15,875.462086
GGOEGAEC029115,Google Women's Short Sleeve Hero Tee Sky Blue,50,871.846778
GGOEAAXJ066228,Android Toddler Short Sleeve T-shirt Pewter,52,868.945472
GGOEGAEE031014,Google Heavyweight Long Sleeve Hero Tee Burgundy,23,862.758093
GGOEGADB059214,Google Men's Airflow 1/4 Zip Pullover Black,19,853.386527
GGOEGAWH061353,Google Onesie Green,40,846.108332
GGOEGAAJ032715,Google Men's Skater Tee Grey,53,845.119842
GGOEGAEB027813,Google Women's Short Sleeve Hero Tee Black,55,845.048003
GGOEAAFB035913,Android Men's  Zip Hoodie,16,844.60119
GGOEGAAB058916,Google Men's Short Sleeve Performance Badge Tee Black,44,843.476825
GGOEGAAJ032316,Google Men's Short Sleeve Hero Tee Charcoal,50,835.054601
GGOEYAAB034615,YouTube Men's Vintage Tee,51,824.564882
GGOEAAYC068756,Android Youth Short Sleeve T-shirt Aqua,51,824.099083
GGOEGAUB058313,Google Women's Performance Polo Grey/Black,13,819.1825
GGOEGFYQ016599,Koozie Can Kooler,491,816.90796
GGOEGATB060613,Google Women's Convertible Vest-Jacket Black,15,815.928484
GGOEYAAB031813,YouTube Men's Short Sleeve Hero Tee Black,45,815.301078
GGOEGBRJ037399,Mistral Rucksack,14,804.63647
GGOEGBRP037599,Yoga Mat Purple,35,803.630423
GGOEGAAJ032714,Google Men's Skater Tee Grey,47,803.316852
GGOEGOCR017899,Eco-Aware Recycled Journal Combo,221,801.989998
GGOEWAEA083899,Waze Dress Socks,92,790.469284
GGOEGAYB068025,Google Youth Baseball Raglan Heather/Black,35,788.742475
GGOEYAAJ032516,YouTube Men's Short Sleeve Hero Tee Charcoal,44,787.254528
GGOEGAFJ036213,Google Men's Pullover Hoodie Grey,17,785.722421
GGOEGATB060615,Google Women's Convertible Vest-Jacket Black,11,785.371665
GGOEGAEL031113,Google Heavyweight Long Sleeve Hero Tee Navy,20,776.153786
GGOEGEVB071299,Digital Lightshow Smart Speaker and Notification Center,8,771.690237
GGOEGEDQ023899,4-in-1 Carabiner Charger,31,770.289548
GGOEGAEL031114,Google Heavyweight Long Sleeve Hero Tee Navy,21,768.653635
GGOEGAAL010617,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,46,764.284928
GGOEGADB059215,Google Men's Airflow 1/4 Zip Pullover Black,17,763.046904
GGOEGAEE031013,Google Heavyweight Long Sleeve Hero Tee Burgundy,21,761.474705
GGOEGALL060013,Google Women's Short Sleeve Performance Tee Navy,46,761.141365
GGOEAAWT061748,Android Onesie Gold,32,758.695076
GGOEGAXC065629,Google Toddler Hoodie Royal Blue,23,754.503331
GGOEGATC060313,Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,16,751.983038
GGOEGAQB036017,Google Women's Fleece Hoodie,15,746.845237
GGOEGADC059315,Google Men's Airflow 1/4 Zip Pullover Lapis,17,745.10423
GGOEAAWH061553,Android Onesie Sprout Green,40,736.905555
GGOEGATH060713,Google Women's Convertible Vest-Jacket Sea Foam Green,11,736.336904
GGOEAAXN066330,Android Toddler Short Sleeve T-shirt Pink,49,730.547119
GGOEGAYC068356,Google Youth Short Sleeve T-shirt Royal Blue,40,728.734523
