fecha,country,revenue_usd,total_transactions,sesiones
2016-08-02,Bosnia & Herzegovina,,,3
2016-08-02,Brazil,,,60
2016-08-02,Bulgaria,,,2
2016-08-02,Cambodia,,,1
2016-08-02,Canada,,,56
2016-08-02,Chile,,,3
2016-08-02,China,,,8
2016-08-02,Colombia,,,14
2016-08-02,Costa Rica,,,1
2016-08-02,Croatia,,,4
2016-08-02,Cyprus,,,1
2016-08-02,Czechia,,,7
2016-08-02,Denmark,,,3
2016-08-02,Dominican Republic,,,8
2016-08-02,Ecuador,,,5
2016-08-02,Egypt,,,7
2016-08-02,Estonia,,,3
2016-08-02,Ethiopia,,,1
2016-08-02,France,,,7
2016-08-02,Germany,,,29
2016-08-02,Ghana,,,3
2016-08-02,Greece,,,6
2016-08-02,Guatemala,,,4
2016-08-02,Hong Kong,,,20
2016-08-02,India,,,64
2016-08-02,Indonesia,,,30
2016-08-02,Iraq,,,1
2016-08-02,Ireland,,,8
2016-08-02,Israel,,,4
2016-08-02,Italy,,,19
2016-08-02,Jamaica,,,1
2016-08-02,Japan,,,32
2016-08-02,Jordan,,,4
2016-08-02,Kazakhstan,,,1
2016-08-02,Kenya,,,3
2016-08-02,Kosovo,,,2
2016-08-02,Kuwait,,,1
2016-08-02,Latvia,,,1
2016-08-02,Lebanon,,,1
2016-08-02,Lithuania,,,1
2016-08-02,Macedonia (FYROM),,,6
2016-08-02,Malaysia,,,12
2016-08-02,Maldives,,,1
2016-08-02,Malta,,,1
2016-08-02,Mauritius,,,1
2016-08-02,Mexico,,,45
2016-08-02,Moldova,,,2
2016-08-02,Morocco,,,2
2016-08-02,Myanmar (Burma),,,2
2016-08-02,Netherlands,,,7
2016-08-02,New Zealand,,,2
2016-08-02,Nigeria,,,3
2016-08-02,Norway,,,4
2016-08-02,Oman,,,1
2016-08-02,Pakistan,,,21
2016-08-02,Palestine,,,1
2016-08-02,Panama,,,2
2016-08-02,Peru,,,21
2016-08-02,Philippines,,,51
2016-08-02,Poland,,,12
2016-08-02,Qatar,,,3
2016-08-02,Romania,,,17
2016-08-02,Russia,,,25
2016-08-02,Saudi Arabia,,,9
2016-08-02,Serbia,,,6
2016-08-02,Singapore,,,20
2016-08-02,Slovakia,,,4
2016-08-02,South Africa,,,4
2016-08-02,South Korea,,,4
2016-08-02,Spain,,,16
2016-08-02,Sri Lanka,,,1
2016-08-02,Swaziland,,,1
2016-08-02,Sweden,,,2
2016-08-02,Switzerland,,,3
2016-08-02,Taiwan,,,12
2016-08-02,Thailand,27.33,1,28
2016-08-02,Togo,,,1
2016-08-02,Tunisia,,,6
2016-08-02,Turkey,,,66
2016-08-02,Uganda,,,1
2016-08-02,Ukraine,,,10
2016-08-02,United Arab Emirates,,,12
2016-08-02,United Kingdom,,,52
2016-08-02,United States,1439.62,17,1105
2016-08-02,Uruguay,,,1
2016-08-02,Venezuela,,,8
2016-08-02,Vietnam,,,25
2016-08-02,Zimbabwe,,,1
2016-08-03,(not set),,,5
2016-08-03,Albania,,,3
2016-08-03,Algeria,,,7
2016-08-03,Argentina,,,10
2016-08-03,Armenia,,,2
2016-08-03,Australia,,,32
2016-08-03,Austria,,,7
2016-08-03,Azerbaijan,,,1
2016-08-03,Bahamas,,,1
2016-08-03,Bahrain,,,2
2016-08-03,Bangladesh,,,5
2016-08-03,Belarus,,,1
2016-08-03,Belgium,,,8
2016-08-03,Bolivia,,,2
2016-08-03,Bosnia & Herzegovina,,,5
2016-08-03,Brazil,,,61
2016-08-03,Bulgaria,,,19
2016-08-03,Cambodia,,,5
2016-08-03,Cameroon,,,2
2016-08-03,Canada,,,75
2016-08-03,Chile,,,6
2016-08-03,China,,,10
2016-08-03,Colombia,,,20
2016-08-03,Costa Rica,,,10
2016-08-03,Croatia,,,5
2016-08-03,Cyprus,,,1
2016-08-03,Czechia,,,5
2016-08-03,Denmark,,,5
2016-08-03,Dominican Republic,,,6
2016-08-03,Ecuador,,,10
2016-08-03,Egypt,,,14
2016-08-03,El Salvador,,,2
2016-08-03,Estonia,,,3
2016-08-03,Finland,,,1
2016-08-03,France,,,28
2016-08-03,Gabon,,,2
2016-08-03,Georgia,,,2
2016-08-03,Germany,,,44
2016-08-03,Ghana,,,1
2016-08-03,Greece,,,5
2016-08-03,Guatemala,,,3
2016-08-03,Honduras,,,3
2016-08-03,Hong Kong,,,20
2016-08-03,Hungary,,,5
2016-08-03,India,,,126
2016-08-03,Indonesia,,,25
2016-08-03,Iraq,,,2
2016-08-03,Ireland,,,13
2016-08-03,Israel,,,64
2016-08-03,Italy,,,44
2016-08-03,Japan,,,54
2016-08-03,Jordan,,,3
2016-08-03,Kazakhstan,,,1
2016-08-03,Kenya,,,1
2016-08-03,Kosovo,,,2
2016-08-03,Latvia,,,2
2016-08-03,Lebanon,,,4
2016-08-03,Lithuania,,,3
2016-08-03,Macedonia (FYROM),,,8
2016-08-03,Malaysia,,,18
2016-08-03,Malta,,,1
2016-08-03,Mexico,,,54
2016-08-03,Morocco,,,3
2016-08-03,Netherlands,,,20
2016-08-03,New Zealand,,,3
2016-08-03,Nigeria,,,3
2016-08-03,Norway,,,4
2016-08-03,Oman,,,1
2016-08-03,Pakistan,,,17
2016-08-03,Panama,,,1
2016-08-03,Paraguay,,,2
2016-08-03,Peru,,,33
2016-08-03,Philippines,,,67
2016-08-03,Poland,,,34
2016-08-03,Portugal,,,3
2016-08-03,Puerto Rico,,,3
2016-08-03,Qatar,,,5
2016-08-03,Romania,,,24
2016-08-03,Russia,,,43
2016-08-03,Rwanda,,,1
2016-08-03,Saudi Arabia,,,6
2016-08-03,Serbia,,,9
2016-08-03,Singapore,,,14
2016-08-03,Slovakia,,,2
2016-08-03,Slovenia,,,3
2016-08-03,South Africa,,,7
2016-08-03,South Korea,,,10
2016-08-03,Spain,,,29
2016-08-03,Sri Lanka,,,3
2016-08-03,St. Vincent & Grenadines,,,1
2016-08-03,Sweden,,,11
2016-08-03,Switzerland,,,11
2016-08-03,Taiwan,,,21
2016-08-03,Tanzania,,,1
2016-08-03,Thailand,,,46
2016-08-03,Togo,,,1
2016-08-03,Tunisia,,,5
2016-08-03,Turkey,,,135
2016-08-03,Turkmenistan,,,1
2016-08-03,Uganda,,,1
2016-08-03,Ukraine,,,7
2016-08-03,United Arab Emirates,,,14
2016-08-03,United Kingdom,,,69
2016-08-03,United States,,,1276
2016-08-03,Uruguay,,,3
2016-08-03,Venezuela,,,12
2016-08-03,Vietnam,,,36
2016-08-04,(not set),,,5
2016-08-04,Albania,,,2
2016-08-04,Algeria,,,7
2016-08-04,Argentina,,,12
2016-08-04,Armenia,,,1
2016-08-04,Australia,,,27
2016-08-04,Austria,,,10
2016-08-04,Azerbaijan,,,7
2016-08-04,Bahrain,,,3
2016-08-04,Bangladesh,,,11
2016-08-04,Belarus,,,2
2016-08-04,Belgium,,,13
2016-08-04,Bolivia,,,1
2016-08-04,Bosnia & Herzegovina,,,7
2016-08-04,Brazil,,,47
2016-08-04,Bulgaria,,,30
2016-08-04,Cambodia,,,3
2016-08-04,Canada,,,52
2016-08-04,Chile,,,9
2016-08-04,China,,,11
2016-08-04,Colombia,,,17
2016-08-04,Costa Rica,,,2
2016-08-04,Croatia,,,4
2016-08-04,Cyprus,,,2
2016-08-04,Czechia,,,5
2016-08-04,Denmark,,,10
2016-08-04,Dominican Republic,,,4
2016-08-04,Ecuador,,,17
2016-08-04,Egypt,,,8
2016-08-04,Estonia,,,1
2016-08-04,Ethiopia,,,2
2016-08-04,Finland,,,3
2016-08-04,France,,,44
2016-08-04,Germany,,,44
2016-08-04,Ghana,,,2
2016-08-04,Greece,,,8
2016-08-04,Guatemala,,,5
2016-08-04,Honduras,,,2
2016-08-04,Hong Kong,,,11
2016-08-04,Hungary,,,5
2016-08-04,India,,,181
2016-08-04,Indonesia,,,23
2016-08-04,Iraq,,,1
2016-08-04,Ireland,,,15
2016-08-04,Israel,,,54
2016-08-04,Italy,,,51
2016-08-04,Jamaica,,,1
2016-08-04,Japan,,,75
2016-08-04,Jordan,,,4
2016-08-04,Kazakhstan,,,1
2016-08-04,Kenya,,,10
2016-08-04,Kosovo,,,1
2016-08-04,Kuwait,,,3
2016-08-04,Kyrgyzstan,,,2
2016-08-04,Lithuania,,,1
2016-08-04,Luxembourg,,,2
2016-08-04,Macedonia (FYROM),,,5
2016-08-04,Malaysia,,,12
2016-08-04,Malta,,,1
2016-08-04,Mexico,,,53
2016-08-04,Mongolia,,,3
2016-08-04,Montenegro,,,2
2016-08-04,Morocco,,,6
2016-08-04,Myanmar (Burma),,,1
2016-08-04,Netherlands,,,20
2016-08-04,New Zealand,,,3
2016-08-04,Nigeria,,,5
2016-08-04,Norway,,,8
2016-08-04,Pakistan,,,18
2016-08-04,Panama,,,2
2016-08-04,Peru,,,36
2016-08-04,Philippines,,,58
2016-08-04,Poland,,,50
2016-08-04,Portugal,,,7
2016-08-04,Puerto Rico,,,1
2016-08-04,Qatar,,,6
2016-08-04,Romania,,,22
2016-08-04,Russia,,,76
2016-08-04,Saudi Arabia,,,12
2016-08-04,Senegal,,,2
2016-08-04,Serbia,,,9
2016-08-04,Singapore,,,13
2016-08-04,Slovakia,,,3
2016-08-04,South Africa,,,11
2016-08-04,South Korea,,,16
2016-08-04,Spain,,,43
2016-08-04,Sri Lanka,,,4
2016-08-04,Sweden,,,12
2016-08-04,Switzerland,,,15
2016-08-04,Taiwan,,,93
2016-08-04,Thailand,,,42
2016-08-04,Togo,,,1
2016-08-04,Tunisia,,,9
2016-08-04,Turkey,,,145
2016-08-04,Ukraine,,,66
2016-08-04,United Arab Emirates,,,11
2016-08-04,United Kingdom,,,99
2016-08-04,United States,1064.93,16,1226
2016-08-04,Uruguay,,,2
2016-08-04,Venezuela,209.96,1,12
2016-08-04,Vietnam,,,39
2016-08-05,(not set),,,8
2016-08-05,Albania,,,6
2016-08-05,Algeria,,,6
2016-08-05,Angola,,,1
2016-08-05,Antigua & Barbuda,,,1
2016-08-05,Argentina,,,23
2016-08-05,Armenia,,,4
2016-08-05,Australia,,,15
2016-08-05,Austria,,,8
2016-08-05,Azerbaijan,,,1
2016-08-05,Bangladesh,,,10
2016-08-05,Belarus,,,6
2016-08-05,Belgium,,,14
2016-08-05,Bolivia,,,3
2016-08-05,Bosnia & Herzegovina,,,8
2016-08-05,Brazil,,,60
2016-08-05,Bulgaria,,,18
2016-08-05,Cambodia,,,1
2016-08-05,Cameroon,,,1
2016-08-05,Canada,65.69,1,43
2016-08-05,Chile,,,9
2016-08-05,China,,,11
2016-08-05,Colombia,,,18
2016-08-05,Costa Rica,,,2
2016-08-05,Croatia,,,4
2016-08-05,Curaçao,,,1
2016-08-05,Cyprus,,,4
2016-08-05,Czechia,,,11
2016-08-05,Denmark,,,12
2016-08-05,Dominican Republic,,,9
2016-08-05,Ecuador,,,6
2016-08-05,Egypt,,,5
2016-08-05,Finland,,,1
2016-08-05,France,,,26
2016-08-05,French Guiana,,,1
2016-08-05,Georgia,,,2
2016-08-05,Germany,,,37
2016-08-05,Ghana,,,3
2016-08-05,Greece,,,7
2016-08-05,Guatemala,,,2
2016-08-05,Haiti,,,1
2016-08-05,Honduras,,,1
2016-08-05,Hong Kong,,,16
2016-08-05,Hungary,,,9
2016-08-05,India,,,135
2016-08-05,Indonesia,,,23
2016-08-05,Iraq,,,3
2016-08-05,Ireland,,,11
2016-08-05,Israel,,,16
2016-08-05,Italy,,,69
2016-08-05,Jamaica,,,1
2016-08-05,Japan,,,35
2016-08-05,Jordan,,,6
2016-08-05,Kazakhstan,,,3
2016-08-05,Kenya,,,6
2016-08-05,Kosovo,,,2
2016-08-05,Kyrgyzstan,,,1
2016-08-05,Lithuania,,,2
2016-08-05,Macau,,,1
2016-08-05,Macedonia (FYROM),,,15
2016-08-05,Malaysia,,,8
2016-08-05,Malta,,,2
2016-08-05,Mexico,,,49
2016-08-05,Montenegro,,,3
2016-08-05,Morocco,,,2
2016-08-05,Myanmar (Burma),,,3
2016-08-05,Netherlands,,,13
2016-08-05,New Zealand,,,2
2016-08-05,Nicaragua,,,3
2016-08-05,Nigeria,,,3
2016-08-05,Norfolk Island,,,1
2016-08-05,Norway,,,4
2016-08-05,Oman,,,2
2016-08-05,Pakistan,,,12
2016-08-05,Panama,,,1
2016-08-05,Peru,,,25
2016-08-05,Philippines,,,43
2016-08-05,Poland,,,43
2016-08-05,Portugal,,,5
2016-08-05,Qatar,,,2
2016-08-05,Romania,,,18
2016-08-05,Russia,,,72
2016-08-05,Saudi Arabia,,,6
2016-08-05,Senegal,,,3
2016-08-05,Serbia,,,7
2016-08-05,Singapore,,,13
2016-08-05,Slovakia,,,5
2016-08-05,South Africa,,,5
2016-08-05,South Korea,,,18
2016-08-05,Spain,,,27
2016-08-05,Sri Lanka,,,7
2016-08-05,Sweden,,,5
2016-08-05,Switzerland,,,6
2016-08-05,Taiwan,,,40
2016-08-05,Thailand,,,46
2016-08-05,Tunisia,,,5
2016-08-05,Turkey,,,107
2016-08-05,Ukraine,,,77
2016-08-05,United Arab Emirates,,,16
2016-08-05,United Kingdom,,,101
2016-08-05,United States,5723.55,41,1073
2016-08-05,Uruguay,,,3
2016-08-05,Venezuela,,,9
2016-08-05,Vietnam,,,43
2016-08-06,(not set),,,3
2016-08-06,Albania,,,4
2016-08-06,Algeria,,,5
2016-08-06,Argentina,,,10
2016-08-06,Australia,,,27
2016-08-06,Austria,,,3
2016-08-06,Azerbaijan,,,4
2016-08-06,Bangladesh,,,6
2016-08-06,Belarus,,,2
2016-08-06,Belgium,,,6
2016-08-06,Bolivia,,,4
2016-08-06,Bosnia & Herzegovina,,,9
2016-08-06,Brazil,,,32
2016-08-06,Bulgaria,,,4
2016-08-06,Cambodia,,,3
2016-08-06,Canada,,,36
2016-08-06,Chile,,,5
2016-08-06,China,,,10
2016-08-06,Colombia,,,14
2016-08-06,Costa Rica,,,3
2016-08-06,Croatia,,,7
2016-08-06,Cyprus,,,2
2016-08-06,Czechia,,,3
2016-08-06,Denmark,,,3
2016-08-06,Dominican Republic,,,6
2016-08-06,Ecuador,,,11
2016-08-06,Egypt,,,6
2016-08-06,El Salvador,,,2
2016-08-06,Finland,,,2
2016-08-06,France,,,13
2016-08-06,French Polynesia,,,1
2016-08-06,Georgia,,,1
2016-08-06,Germany,,,21
2016-08-06,Greece,,,4
2016-08-06,Guatemala,,,1
2016-08-06,Hong Kong,,,12
2016-08-06,Hungary,,,3
2016-08-06,India,,,102
2016-08-06,Indonesia,,,15
2016-08-06,Iraq,,,1
2016-08-06,Ireland,,,4
2016-08-06,Israel,,,12
2016-08-06,Italy,,,21
2016-08-06,Jamaica,,,1
2016-08-06,Japan,,,37
2016-08-06,Jordan,,,2
2016-08-06,Kazakhstan,,,2
2016-08-06,Kenya,,,4
2016-08-06,Kosovo,,,3
2016-08-06,Kuwait,,,5
2016-08-06,Laos,,,3
2016-08-06,Latvia,,,1
2016-08-06,Lebanon,,,1
2016-08-06,Libya,,,1
2016-08-06,Macedonia (FYROM),,,6
2016-08-06,Malaysia,,,22
2016-08-06,Malta,,,1
2016-08-06,Mexico,,,32
2016-08-06,Mongolia,,,1
2016-08-06,Morocco,,,4
2016-08-06,Nepal,,,2
2016-08-06,Netherlands,,,12
2016-08-06,New Zealand,,,5
2016-08-06,Nigeria,,,6
2016-08-06,Norway,,,6
2016-08-06,Oman,,,2
2016-08-06,Pakistan,,,14
2016-08-06,Palestine,,,1
2016-08-06,Peru,,,23
2016-08-06,Philippines,,,26
2016-08-06,Poland,,,25
2016-08-06,Portugal,,,6
2016-08-06,Qatar,,,2
2016-08-06,Romania,,,14
2016-08-06,Russia,,,47
2016-08-06,Réunion,,,1
2016-08-06,Saudi Arabia,,,9
2016-08-06,Senegal,,,1
2016-08-06,Serbia,,,4
2016-08-06,Singapore,,,6
2016-08-06,Slovakia,,,1
2016-08-06,Slovenia,,,1
2016-08-06,South Africa,,,9
2016-08-06,South Korea,,,11
2016-08-06,Spain,,,16
2016-08-06,Sri Lanka,,,5
2016-08-06,Sudan,,,1
2016-08-06,Sweden,,,5
2016-08-06,Switzerland,,,5
2016-08-06,Taiwan,,,31
2016-08-06,Thailand,,,24
2016-08-06,Tunisia,,,6
2016-08-06,Turkey,,,96
2016-08-06,Ukraine,,,9
2016-08-06,United Arab Emirates,,,12
2016-08-06,United Kingdom,,,41
2016-08-06,United States,1938.04,10,556
2016-08-06,Uruguay,,,4
2016-08-06,Venezuela,,,9
2016-08-06,Vietnam,,,40
2016-08-07,(not set),,,2
2016-08-07,Algeria,,,12
2016-08-07,Argentina,,,7
2016-08-07,Armenia,,,1
2016-08-07,Australia,,,26
2016-08-07,Austria,,,2
2016-08-07,Azerbaijan,,,1
2016-08-07,Bahrain,,,3
2016-08-07,Bangladesh,,,4
2016-08-07,Barbados,,,1
2016-08-07,Belarus,,,2
2016-08-07,Belgium,,,3
2016-08-07,Benin,,,1
2016-08-07,Bolivia,,,1
2016-08-07,Bosnia & Herzegovina,,,5
2016-08-07,Brazil,,,22
2016-08-07,Bulgaria,,,6
2016-08-07,Cambodia,,,2
2016-08-07,Canada,89.46,1,34
2016-08-07,Chile,,,1
2016-08-07,China,,,13
2016-08-07,Colombia,,,11
2016-08-07,Costa Rica,,,1
2016-08-07,Croatia,,,3
2016-08-07,Czechia,,,5
2016-08-07,Denmark,,,5
2016-08-07,Dominican Republic,,,7
2016-08-07,Ecuador,,,5
2016-08-07,Egypt,,,7
2016-08-07,Estonia,,,2
2016-08-07,Finland,,,2
2016-08-07,France,,,35
2016-08-07,Germany,,,31
2016-08-07,Greece,,,3
2016-08-07,Guatemala,,,2
2016-08-07,Hong Kong,,,5
2016-08-07,Hungary,,,9
2016-08-07,Iceland,,,2
2016-08-07,India,,,85
2016-08-07,Indonesia,,,22
2016-08-07,Iraq,,,2
2016-08-07,Ireland,,,5
2016-08-07,Israel,,,21
2016-08-07,Italy,,,17
2016-08-07,Japan,,,43
2016-08-07,Jordan,,,2
2016-08-07,Kenya,,,5
2016-08-07,Kosovo,,,2
2016-08-07,Kuwait,,,2
2016-08-07,Kyrgyzstan,,,1
2016-08-07,Laos,,,1
2016-08-07,Lebanon,,,2
2016-08-07,Macedonia (FYROM),,,9
2016-08-07,Malaysia,,,14
2016-08-07,Malta,,,1
2016-08-07,Mexico,,,36
2016-08-07,Mongolia,,,2
2016-08-07,Morocco,,,5
2016-08-07,Nepal,,,1
2016-08-07,Netherlands,,,15
2016-08-07,New Zealand,,,3
2016-08-07,Nigeria,,,8
2016-08-07,Norway,,,13
2016-08-07,Oman,,,1
2016-08-07,Pakistan,,,9
2016-08-07,Palestine,,,1
2016-08-07,Peru,42.0,1,16
2016-08-07,Philippines,,,30
2016-08-07,Poland,,,14
2016-08-07,Portugal,,,2
2016-08-07,Puerto Rico,,,1
2016-08-07,Qatar,,,4
2016-08-07,Romania,,,10
2016-08-07,Russia,,,32
2016-08-07,Saudi Arabia,,,7
2016-08-07,Serbia,,,7
2016-08-07,Singapore,,,10
2016-08-07,Slovakia,,,2
2016-08-07,South Africa,,,3
2016-08-07,South Korea,,,15
2016-08-07,Spain,,,18
2016-08-07,Sri Lanka,,,2
2016-08-07,Sudan,,,1
2016-08-07,Sweden,,,9
2016-08-07,Switzerland,,,3
2016-08-07,Taiwan,,,33
2016-08-07,Tanzania,,,2
2016-08-07,Thailand,,,31
2016-08-07,Trinidad & Tobago,,,1
2016-08-07,Tunisia,,,8
2016-08-07,Turkey,,,69
2016-08-07,Uganda,,,1
2016-08-07,Ukraine,,,18
2016-08-07,United Arab Emirates,,,8
2016-08-07,United Kingdom,,,50
2016-08-07,United States,2355.27,14,551
2016-08-07,Uruguay,,,1
2016-08-07,Venezuela,,,3
2016-08-07,Vietnam,,,48
2016-08-08,(not set),,,8
2016-08-08,Albania,,,3
2016-08-08,Algeria,,,11
2016-08-08,Angola,,,2
2016-08-08,Argentina,,,11
2016-08-08,Armenia,,,1
2016-08-08,Australia,175.7,1,38
2016-08-08,Austria,,,5
2016-08-08,Azerbaijan,,,1
2016-08-08,Bahrain,,,2
2016-08-08,Bangladesh,,,7
2016-08-08,Belarus,,,3
2016-08-08,Belgium,,,7
2016-08-08,Bolivia,,,3
2016-08-08,Bosnia & Herzegovina,,,5
2016-08-08,Brazil,,,63
2016-08-08,Bulgaria,,,14
2016-08-08,Cambodia,,,3
2016-08-08,Canada,1433.67,2,57
2016-08-08,Chile,,,4
2016-08-08,China,,,11
2016-08-08,Colombia,,,19
2016-08-08,Costa Rica,,,3
2016-08-08,Croatia,,,5
2016-08-08,Curaçao,,,1
2016-08-08,Cyprus,,,3
2016-08-08,Czechia,,,8
2016-08-08,Denmark,,,6
2016-08-08,Dominican Republic,,,4
2016-08-08,Ecuador,,,14
2016-08-08,Egypt,,,5
2016-08-08,Fiji,,,2
2016-08-08,Finland,,,4
2016-08-08,France,,,28
2016-08-08,French Polynesia,,,1
2016-08-08,Georgia,,,1
2016-08-08,Germany,,,49
2016-08-08,Greece,,,5
2016-08-08,Guatemala,,,2
2016-08-08,Hong Kong,,,9
2016-08-08,Hungary,,,7
2016-08-08,India,,,101
2016-08-08,Indonesia,,,20
2016-08-08,Iraq,,,2
2016-08-08,Ireland,,,14
2016-08-08,Israel,,,23
2016-08-08,Italy,,,34
2016-08-08,Japan,,,72
2016-08-08,Jordan,,,5
2016-08-08,Kazakhstan,,,3
2016-08-08,Kenya,,,5
2016-08-08,Kosovo,,,2
2016-08-08,Kuwait,,,2
2016-08-08,Kyrgyzstan,,,1
2016-08-08,Laos,,,1
2016-08-08,Lebanon,,,5
2016-08-08,Libya,,,1
2016-08-08,Lithuania,,,1
2016-08-08,Macedonia (FYROM),,,9
2016-08-08,Malaysia,,,13
2016-08-08,Maldives,,,2
2016-08-08,Mexico,,,45
2016-08-08,Moldova,,,1
2016-08-08,Morocco,,,5
2016-08-08,Myanmar (Burma),,,1
2016-08-08,Netherlands,,,19
2016-08-08,New Zealand,,,3
2016-08-08,Nicaragua,,,3
2016-08-08,Nigeria,,,7
2016-08-08,Norway,,,38
2016-08-08,Pakistan,,,18
2016-08-08,Panama,,,2
2016-08-08,Paraguay,,,1
2016-08-08,Peru,,,29
2016-08-08,Philippines,,,41
2016-08-08,Poland,,,81
2016-08-08,Portugal,,,3
2016-08-08,Qatar,,,4
2016-08-08,Romania,,,28
2016-08-08,Russia,,,52
2016-08-08,Saudi Arabia,,,7
2016-08-08,Serbia,,,3
2016-08-08,Singapore,,,4
2016-08-08,Slovakia,,,2
2016-08-08,Slovenia,,,1
2016-08-08,South Africa,,,6
2016-08-08,South Korea,,,7
2016-08-08,Spain,,,23
2016-08-08,Sri Lanka,,,5
2016-08-08,Sudan,,,1
2016-08-08,Swaziland,,,1
2016-08-08,Sweden,,,16
2016-08-08,Switzerland,,,6
2016-08-08,Taiwan,,,25
2016-08-08,Tanzania,,,1
2016-08-08,Thailand,,,41
2016-08-08,Trinidad & Tobago,,,2
2016-08-08,Tunisia,,,2
2016-08-08,Turkey,,,146
2016-08-08,Turks & Caicos Islands,,,1
2016-08-08,Ukraine,,,21
2016-08-08,United Arab Emirates,,,9
2016-08-08,United Kingdom,,,94
2016-08-08,United States,3818.32,33,1210
2016-08-08,Uruguay,,,1
2016-08-08,Venezuela,,,6
2016-08-08,Vietnam,,,42
2016-08-09,(not set),,,11
2016-08-09,Albania,,,1
2016-08-09,Algeria,,,11
2016-08-09,Argentina,,,10
2016-08-09,Armenia,,,1
2016-08-09,Australia,,,35
2016-08-09,Austria,,,9
2016-08-09,Azerbaijan,,,1
2016-08-09,Bahrain,,,1
2016-08-09,Bangladesh,,,4
2016-08-09,Belarus,,,2
2016-08-09,Belgium,,,12
2016-08-09,Bolivia,,,5
2016-08-09,Bosnia & Herzegovina,,,6
2016-08-09,Brazil,,,55
2016-08-09,Bulgaria,,,8
2016-08-09,Cambodia,,,3
2016-08-09,Canada,488.69,1,63
2016-08-09,Chile,,,5
2016-08-09,China,,,7
2016-08-09,Colombia,,,15
2016-08-09,Costa Rica,,,7
2016-08-09,Croatia,,,5
2016-08-09,Cyprus,,,4
2016-08-09,Czechia,,,15
2016-08-09,Denmark,,,2
2016-08-09,Dominican Republic,,,6
2016-08-09,Ecuador,,,8
2016-08-09,Egypt,,,9
2016-08-09,Estonia,,,1
